primordia,leaf,angle,genotype,plant,population
,L1L2,174.02,3130,W62,1
P3P4,L2L3,174.47,e2,e29c,2
,L4L5,174.47,e2,E61,1
,L1L2,174.51,3130,W42,1
,L1L2,174.62,3130,W20,1
,L1L2,174.65,e2,E65,1
P3P4,L5L6,174.685,e2,e28c,2
,L3L4,174.7,3130,W67,1
,L1L2,174.77,e2,E42,1
,L3L4,175,e2,E39,1
,L3L4,175.2,3130,W53,1
,L1L2,175.24,e2,E106,1
,L3L4,175.26,e2,E18,1
,L1L2,175.31,3130,W16,1
P4P5,L1L2,175.491,e2,e28g,2
,L1L2,175.82,e2,E39,1
,L3L4,175.84,e2,E49,1
,L1L2,176.15,e2,E41,1
,L1L2,176.19,e2,E45,1
,L1L2,176.32,e2,E9,1
