Label,Area,Perim.,Circ.,AR,Round,Solidity
L1_EI9.bmp,15.612,39.36,0.127,1.319,0.758,0.881
L1_EJ1.bmp,0.001,0.13,1,2.031,0.492,0.8
L1_EJ1.bmp,0.004,0.415,0.298,5.885,0.17,0.571
L1_EJ10.bmp,17.754,33.977,0.193,1.342,0.745,0.903
L1_EJ10.bmp,16.998,39.533,0.137,1.338,0.747,0.892
L1_EJ12.bmp,20.582,36.901,0.19,1.455,0.688,0.89
L1_EJ12.bmp,6.80E-04,0.089,1,2,0.5,1
L1_EJ13.bmp,17.041,40.247,0.132,1.196,0.836,0.867
L1_EJ13.bmp,17.041,40.247,0.132,1.196,0.836,0.867
L1_EJ14.bmp,3.40E-04,0.052,1,1,1,1
L1_EJ14.bmp,19.817,41.062,0.148,1.294,0.773,0.919
L1_EJ15.bmp,0.001,0.115,0.967,3,0.333,1
L1_EJ15.bmp,16.58,41.377,0.122,1.37,0.73,0.893
L1_EJ16.bmp,9.481,23.949,0.208,1.39,0.72,0.914
L1_EJ16.bmp,8.84,27.87,0.143,1.417,0.705,0.887
L1_EJ17.bmp,12.001,28.856,0.181,1.217,0.822,0.898
L1_EJ17.bmp,6.80E-04,0.089,1,2,0.5,1
L1_EJ18.bmp,0.005,0.439,0.333,1.822,0.549,0.588
L1_EJ18.bmp,16.698,31.727,0.208,1.269,0.788,0.889
L1_EJ2.bmp,11.76,24.696,0.242,1.441,0.694,0.916
L1_EJ2.bmp,11.155,31.49,0.141,1.469,0.681,0.885
L1_EJ3.bmp,16.277,29.962,0.228,1.332,0.751,0.935
L1_EJ3.bmp,16.277,29.962,0.228,1.332,0.751,0.935
L1_EJ4.bmp,11.574,26.584,0.206,1.427,0.701,0.909
L1_EJ4.bmp,11.574,26.584,0.206,1.427,0.701,0.909
L1_EJ6.bmp,3.40E-04,0.052,1,1,1,1
L1_EJ6.bmp,14.224,37.547,0.127,1.417,0.706,0.877
L1_EJ7.bmp,16.907,39.515,0.136,1.503,0.665,0.88
L1_EJ7.bmp,16.907,39.515,0.136,1.503,0.665,0.88
L1_EJ8.bmp,14.01,34.947,0.144,1.261,0.793,0.912
L1_EJ8.bmp,0.004,0.298,0.53,2.129,0.47,0.629
L1_EJ9.bmp,6.80E-04,0.089,1,2,0.5,1
L1_EJ9.bmp,11.26,32.397,0.135,1.269,0.788,0.871
L1_EK1.bmp,22.353,42.18,0.158,1.334,0.75,0.831
L1_EK1.bmp,3.40E-04,0.052,1,1,1,1
L1_EK10.bmp,15.559,45.029,0.096,1.879,0.532,0.811
L1_EK10.bmp,0.001,0.126,0.809,3,0.333,1
L1_EK11.bmp,0.001,0.141,0.857,2,0.5,0.8
L1_EK11.bmp,16.86,39.731,0.134,1.254,0.797,0.903
L1_EK12.bmp,16.647,41.078,0.124,1.37,0.73,0.874
L1_EK12.bmp,16.647,41.078,0.124,1.37,0.73,0.874
L1_EK13.bmp,20.852,45.81,0.125,1.471,0.68,0.895
L1_EK13.bmp,6.80E-04,0.089,1,2,0.5,1
L1_EK14.bmp,15.031,34.717,0.157,1.205,0.83,0.895
L1_EK14.bmp,15.738,29.148,0.233,1.215,0.823,0.923
L1_EK15.bmp,3.40E-04,0.052,1,1,1,1
L1_EK15.bmp,6.80E-04,0.078,1,2,0.5,1
L1_EK16.bmp,0.017,0.99,0.218,12.553,0.08,0.98
L1_EK16.bmp,0.017,0.99,0.218,12.553,0.08,0.98
L1_EK17.bmp,16.287,28.683,0.249,1.247,0.802,0.926
L1_EK17.bmp,6.80E-04,0.089,1,2,0.5,1
L1_EK18.bmp,0.001,0.126,0.809,3,0.333,1
L1_EK18.bmp,13.987,28.557,0.216,1.404,0.712,0.896
L1_EK2.bmp,15.455,37.818,0.136,1.351,0.74,0.91
L1_EK2.bmp,15.455,37.818,0.136,1.351,0.74,0.91
L1_EK3.bmp,13.837,33.943,0.151,1.374,0.728,0.901
L1_EK3.bmp,14.486,29.57,0.208,1.359,0.736,0.921
L1_EK4.bmp,14.113,33.781,0.155,1.293,0.774,0.898
L1_EK4.bmp,3.40E-04,0.052,1,1,1,1
L1_EK5.bmp,6.80E-04,0.078,1,2,0.5,1
L1_EK5.bmp,18.442,43.499,0.122,1.207,0.829,0.88
L1_EK6.bmp,3.40E-04,0.052,1,1,1,1
L1_EK6.bmp,0.003,0.298,0.482,2.485,0.402,0.667
L1_EK7.bmp,3.40E-04,0.052,1,1,1,1
L1_EK7.bmp,11.614,25.692,0.221,1.194,0.837,0.892
L1_EK9.bmp,20.025,42.722,0.138,1.425,0.702,0.895
L1_EK9.bmp,20.025,42.722,0.138,1.425,0.702,0.895
L1_LA1.bmp,3.40E-04,0.052,1,1,1,1
L1_LA1.bmp,8.282,28.556,0.128,1.741,0.574,0.87
L1_LA15.bmp,9.932,32.8,0.116,1.96,0.51,0.868
L1_LA15.bmp,9.932,32.8,0.116,1.96,0.51,0.868
L1_LA16.bmp,0.002,0.141,1,1.553,0.644,0.909
L1_LA16.bmp,14.668,40.059,0.115,1.689,0.592,0.831
L1_LA18.bmp,13.36,39.556,0.107,1.585,0.631,0.792
L1_LA18.bmp,3.40E-04,0.052,1,1,1,1
L1_LA2.bmp,10.656,25.045,0.213,1.515,0.66,0.839
L1_LA2.bmp,10.656,25.045,0.213,1.515,0.66,0.839
L1_LA4.bmp,16.397,51.566,0.077,1.575,0.635,0.669
L1_LA4.bmp,16.397,51.566,0.077,1.575,0.635,0.669
L1_LA9.bmp,8.985,25.009,0.181,1.805,0.554,0.897
L1_LA9.bmp,8.985,25.009,0.181,1.805,0.554,0.897
L1_LB1.bmp,9.644,23.539,0.219,1.553,0.644,0.904
L1_LB1.bmp,3.40E-04,0.052,1,1,1,1
L1_LB13.bmp,765.236,110.608,0.786,1,1,1
L1_LB13.bmp,765.236,110.608,0.786,1,1,1
L1_LB19.bmp,14.222,29.794,0.201,1.184,0.845,0.855
L1_LB19.bmp,0.003,0.347,0.319,9,0.111,1
L1_LB4.bmp,10.375,35.465,0.104,1.284,0.779,0.775
L1_LB4.bmp,3.40E-04,0.052,1,1,1,1
L1_LB6.bmp,7.252,31.645,0.091,1.198,0.835,0.728
L1_LB6.bmp,7.874,24.913,0.159,1.2,0.833,0.759
L1_LB7.bmp,3.40E-04,0.052,1,1,1,1
L1_LB7.bmp,18.533,36.61,0.174,1.053,0.949,0.817
L1_LB8.bmp,765.236,110.608,0.786,1,1,1
L1_LB8.bmp,765.236,110.608,0.786,1,1,1
L1_LB9.bmp,3.40E-04,0.052,1,1,1,1
L1_LB9.bmp,7.313,25.468,0.142,1.931,0.518,0.86
L1_LC12.bmp,28.912,56.999,0.112,1.165,0.858,0.701
L1_LC12.bmp,28.912,56.999,0.112,1.165,0.858,0.701
L1_LC14.bmp,9.38,25.019,0.188,1.806,0.554,0.888
L1_LC14.bmp,8.751,31.393,0.112,1.858,0.538,0.862
L1_LC15.bmp,21.641,38.853,0.18,1.408,0.71,0.783
L1_LC15.bmp,0.002,0.156,0.873,1.496,0.668,0.714
L1_LC17.bmp,12.432,33.561,0.139,1.625,0.615,0.878
L1_LC17.bmp,12.432,33.561,0.139,1.625,0.615,0.878
L1_LC18.bmp,0.006,0.399,0.482,4.651,0.215,0.947
L1_LC18.bmp,12.046,25.861,0.226,1.626,0.615,0.912
L1_LC2.bmp,7.207,28.437,0.112,1.354,0.739,0.753
L1_LC2.bmp,6.80E-04,0.089,1,2,0.5,1
