DATA_NAME	PC1	PC2	PC3	PC4	PC5	PC6
L1_EH10_1	-1.822287e-02	-5.423696e-02	2.579610e-02	-2.338660e-02	1.682464e-02	1.044211e-02
L1_EH12_1	-3.214317e-04	2.251311e-02	-3.188053e-02	-2.186349e-02	1.758748e-02	-2.029945e-02
L1_EH13_1	-2.106451e-04	-5.190324e-02	8.966518e-03	-1.784048e-02	3.971197e-02	-1.061423e-02
L1_EH14_1	1.052629e-02	-8.149262e-03	3.125546e-03	-3.098486e-02	3.136900e-02	2.319228e-02
L1_EH15_1	-2.322395e-02	-5.389579e-02	1.955903e-02	-3.548465e-02	6.301256e-02	2.415216e-02
L1_EH16_1	-5.150530e-03	-4.439066e-02	9.396214e-03	-2.980661e-02	2.328863e-02	1.876518e-02
L1_EH17_1	-2.097570e-02	-7.326615e-02	-7.802677e-03	2.469530e-02	2.963427e-02	-3.881569e-02
L1_EH18_1	1.517559e-01	-5.120059e-02	-1.820521e-02	-1.197962e-02	2.366657e-02	-5.646497e-03
L1_EH2_1	3.384510e-03	-2.054495e-02	5.398176e-03	-1.889499e-02	3.622295e-02	-9.606215e-03
L1_EH3_1	-3.306153e-03	-7.947061e-03	-1.320014e-02	2.288691e-03	3.686468e-02	-2.487834e-03
L1_EH4_1	5.314260e-03	-9.395875e-02	2.412825e-02	-2.549369e-02	3.436846e-02	-8.420000e-03
L1_EH7_1	-8.564058e-03	-5.391915e-02	2.290795e-02	-7.701504e-03	3.961629e-02	5.643429e-03
L1_EH8_1	5.089821e-02	-6.348337e-02	8.384830e-02	-2.193940e-02	6.290604e-02	-8.482754e-03
L1_EH9_1	-1.034498e-02	-5.169829e-02	2.944294e-02	-4.658357e-02	5.055410e-02	3.595530e-03
L1_EI10_1	-6.830845e-03	-4.243849e-02	5.235133e-02	-3.856867e-02	2.433053e-02	-3.159260e-02
L1_EI11_1	-1.662492e-02	1.107415e-02	6.593781e-03	-3.258339e-02	-4.136899e-03	6.945173e-03
L1_EI12_1	-1.801383e-02	2.699884e-03	1.375241e-02	-3.293681e-02	4.104489e-02	1.202565e-02
L1_EI13_1	4.808851e-03	-4.796992e-02	6.038658e-02	-1.239997e-02	1.223722e-02	-8.294078e-03
L1_EI14_1	-2.517576e-02	-5.566649e-02	-4.248085e-02	2.254880e-03	3.478860e-02	-1.014740e-02
L1_EI15_1	1.172182e-02	-3.123576e-02	-7.862972e-03	-4.633003e-02	-1.165796e-02	1.332085e-02
L1_EI16_1	1.171091e-02	-6.337217e-02	1.459926e-02	-6.390837e-02	1.028015e-02	-2.183570e-03
L1_EI17_1	5.574104e-02	-7.577459e-02	-1.821213e-02	-4.069418e-02	-1.337478e-03	-2.582529e-02
L1_EI18_1	3.797456e-04	2.208317e-02	4.760107e-02	-5.072960e-02	-1.953398e-02	1.359040e-02
L1_EI2_1	-8.679194e-03	-5.892498e-02	6.598516e-03	-5.481224e-02	2.505427e-03	-1.570853e-02
L1_EI3_1	-4.436057e-02	-9.265466e-03	-6.657097e-02	3.774485e-03	5.127895e-02	-9.088371e-03
L1_EI4_1	-2.204256e-02	-9.557644e-02	-3.120830e-02	-2.512484e-03	1.616809e-02	2.703235e-02
L1_EI5_1	4.571089e-02	-5.114543e-02	4.373403e-02	-6.875927e-03	3.374482e-02	-8.867306e-03
L1_EI6_1	1.414049e-01	-2.657983e-02	-5.526468e-02	-5.724820e-02	-4.588498e-03	4.964073e-02
L1_EI7_1	4.817630e-03	-1.389446e-01	2.576104e-02	-8.760249e-03	-1.096977e-02	-1.745423e-02
L1_EI8_1	7.590028e-04	-2.721059e-02	-1.583757e-02	-3.738071e-02	5.248105e-02	2.107547e-02
L1_EI9_1	6.069065e-03	-9.680111e-02	2.133474e-02	-4.339324e-02	-2.784497e-02	-1.128265e-02
L1_EJ1_1	-3.225762e-02	-2.182016e-03	-1.432225e-02	1.092239e-02	3.361722e-02	1.008752e-02
L1_EJ10_1	1.936799e-03	-3.634874e-02	-1.470826e-02	-1.070003e-02	2.484187e-02	2.871449e-02
L1_EJ12_1	1.011166e-01	-6.513531e-02	-7.427861e-02	-1.537268e-02	1.152217e-02	9.577506e-03
L1_EJ13_1	-1.197067e-02	-1.301623e-03	2.224994e-02	-1.028322e-02	3.346628e-02	4.007853e-02
L1_EJ14_1	9.116672e-03	2.551401e-03	4.917536e-03	-1.985142e-02	4.736143e-02	3.523187e-02
L1_EJ15_1	-4.545149e-03	4.772265e-03	1.617894e-03	7.048616e-03	3.204503e-02	5.447343e-03
L1_EJ16_1	1.290375e-02	-6.896795e-02	3.737791e-02	-7.171406e-03	7.301504e-03	2.377555e-03
L1_EJ17_1	1.351466e-01	-3.883311e-02	-6.489852e-02	6.217025e-03	1.804219e-02	3.588753e-02
L1_EJ18_1	-2.310672e-02	3.336107e-03	-8.263260e-03	-1.325885e-02	2.206384e-02	2.293264e-02
L1_EJ2_1	-2.498719e-02	-4.211860e-02	2.999241e-02	-2.818000e-02	4.218137e-02	-1.684527e-02
L1_EJ3_1	4.410357e-02	-6.459840e-02	-1.051084e-02	-1.436629e-02	5.279835e-02	6.859205e-03
L1_EJ4_1	1.959750e-02	-6.355039e-02	3.536412e-02	-1.833615e-02	-1.714247e-03	-5.634895e-03
L1_EJ6_1	3.284367e-02	-4.650705e-02	1.487657e-02	-1.947865e-03	4.844533e-02	-9.683351e-03
L1_EJ7_1	-8.222184e-04	-1.374193e-02	-4.351928e-02	-2.127643e-02	4.271257e-03	1.120071e-02
L1_EJ8_1	5.505821e-03	5.134113e-03	3.662754e-04	-2.355704e-02	1.317701e-02	1.718110e-02
L1_EJ9_1	2.533066e-02	-1.034164e-01	-2.661013e-03	1.154192e-03	-1.388855e-03	8.705823e-03
L1_EK1_1	-5.497067e-02	-3.405446e-03	-1.432624e-01	-1.170405e-02	4.238179e-02	-3.126449e-02
L1_EK10_1	-6.938065e-02	-6.002596e-02	-2.341593e-03	2.368676e-02	-3.966225e-04	4.352488e-02
